Titulo,URL,Conteudo
Portaria interministerial define diretrizes para a geração de energia eólica no mar,https://www.gov.br/mma/pt-br/assuntos/noticias/portaria-interministerial-define-diretrizes-para-a-geracao-de-energia-eolica-no-mar,"Oenorme potencial brasileiro da geração de energia eólica offshore, que acontece fora da costa, ganhou um enorme avanço regulatório nesta semana. A Portaria Interministerial Nº 3, do Ministério do Meio Ambiente e Ministério das Minas e Energia, define as regras para a criação e funcionamento de um Portal Único de Gestão do Uso de Áreas Offshore. O texto, publicado no Diário Oficial da União (DOU) desta quinta-feira (20), representa fundamental evolução e contribui para o estabelecimento de um marco legal seguro e adequado para geração de energia elétrica offshore no Brasil.

A portaria permitirá a adoção de um balcão único para acompanhamento do uso do bem público e da evolução dos projetos pela sociedade, investidores e interessados em desenvolver empreendimentos eólicos offshore no Brasil. Trata-se de iniciativa pioneira que traz transparência e redução de burocracia, em linha com as melhores práticas internacionais.

O potencial de energia limpa pode aumentar muito com os projetos de energia offshore, que é produzida no mar. O Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama) já recebeu 66 projetos solicitando permissão para exploração de energia em águas marinhas, que podem produzir 169 GW de energia. Para se ter uma ideia desse volume, o Brasil produz, hoje, 180 GW em todas as fontes. O potencial de produção de energia offshore é de 700 GW, o que corresponde a 50 hidrelétricas de Itaipu.

Essa modalidade de geração de energia foi alvo de consultas públicas junto à sociedade, que resultaram em 378 contribuições, oriundas de 37 diferentes órgãos governamentais, instituições, associações, universidades, empresas e agentes do setor elétrico.

As instituições envolvidas nas análises, incluindo o Ibama, deverão adequar seus procedimentos e normativos às diretrizes determinadas no Decreto nº 10.946, de 2022, que dispõe sobre a cessão de espaço no mar territorial para a geração de energia eólia offshore.

A publicação da portaria interministerial, assim como da Portaria Nº 52 do Ministério das Minas e Energia, representa uma evolução significativa para a geração de energia elétrica offshore, contribuindo para o estabelecimento de um marco legal seguro e adequado.

ASCOM MMA"
Publicado o resultado da seleção de propostas do Fundo Nacional sobre Mudança do Clima,https://www.gov.br/mma/pt-br/assuntos/noticias/publicado-o-resultado-da-selecao-de-propostas-do-fundo-nacional-sobre-mudanca-do-clima,"Oresultado da seleção de propostas do edital do Fundo Nacional sobre Mudança do Clima (FNMC) foi publicado no Diário Oficial da União (DOU) desta quinta-feira (20). Foram selecionados projetos de dez municípios em diversos temas prioritários, tais como ampliação de áreas verdes, implantação de viveiro escola, recuperação de nascentes, captação de energia solar em escolas, e implementação de sistemas agroflorestais.

O valor de cada proposta fica entre R$ 262.990,00 e R$ 525.980,00, podendo prever despesas correntes ou de capital. Os projetos estão enquadrados dentre os temas da política pública sobre mudança do clima, com prioridade para redução de emissões de gases de efeito estufa e ampliação das áreas verdes urbanas. As propostas aprovadas podem ser apoiadas mediante celebração de convênios, com prazo de execução até 2024. Outras fontes de recursos podem ser usadas para complementar o orçamento do Fundo Clima deste exercício.

Sobre o Fundo Clima

Vinculado ao Ministério do Meio Ambiente (MMA), o FNMC disponibiliza recursos em duas modalidades, reembolsável e não-reembolsável. Os recursos reembolsáveis são administrados pelo Banco Nacional de Desenvolvimento Econômico e Social (BNDES). Os recursos não-reembolsáveis são operados pelo MMA.

O Fundo é administrado por um Comitê Gestor presidido pelo Secretário-Executivo do MMA.  Desde sua criação, foram apoiados 62 projetos na modalidade não reembolsável.

Clique aqui ara acessar o resultado.

ASCOM MMA"
Ministério do Meio Ambiente divulga resultado da seleção de vídeos para a 11ª Mostra do Circuito Tela Verde,https://www.gov.br/mma/pt-br/ministerio-do-meio-ambiente-ma-divulga-resultado-da-selecao-de-videos-para-a-11a-mostra-do-circuito-tela-verde,"OCircuito Tela Verde tem como objetivo estimular e promover a Mostra Nacional de Produção Audiovisual Independente, buscando atender demandas em espaços educadores. O Projeto se estrutura em dois eixos de atuação: 1) seleção de material audiovisual de produção independente com conteúdo relacionado à temática socioambiental; 2) fornecimento do material audiovisual para espaços educadores em todo território nacional que tenham interesse em promover atividades com os vídeos.

Para a 11ª edição, foram selecionados 46 vídeos nas temáticas: Florestas e Desenvolvimento Sustentável; Biodiversidade; Qualidade Ambiental; entre outras. Os vídeos foram selecionados por meio de um Grupo de Trabalho composto por membros das secretarias do Ministério do Meio Ambiente, que avaliaram critérios como diálogo com a Política Nacional de Educação Ambiental (PNEA); diálogo com as demais Políticas de Meio Ambiente; qualidade de som e imagem dos vídeos.

Além disso, estão abertas até o dia 03 de novembro as inscrições para as instituições interessadas em exibir os vídeos selecionados. Cada instituição terá acesso aos vídeos selecionados, assim como ao guia com orientações sobre como realizar a Mostra do Circuito Tela Verde. A recomendação é que as exibições dos vídeos sejam acompanhadas de debates, visando promover a reflexão e o aprofundamento dos conteúdos apresentados nos vídeos.

Confira aqui a lista dos vídeos selecionados.

Circuito Tela Verde (CTV)

O Circuito Tela Verde (CTV) teve início em 2009, quando ocorreu a primeira Mostra Nacional de Produção Audiovisual Independente. Desde então, já foram selecionados 441 vídeos relacionados à temática socioambiental, e cadastrados mais de 9 mil Espaços Exibidores.

O projeto é uma iniciativa da Secretaria de Biodiversidade do Ministério do Meio Ambiente (MMA) e tem por objetivo divulgar e estimular atividades de Educação Ambiental, por meio da linguagem audiovisual e, assim, fomentar a construção de valores culturais comprometidos com a sustentabilidade.

ASCOM MMA"
Ministério do Meio Ambiente lança iniciativa para incentivar a renovação de frota,https://www.gov.br/mma/pt-br/assuntos/noticias/ministerio-do-meio-ambiente-lanca-iniciativa-para-incentivar-a-renovacao-de-frota,"OMinistério do Meio Ambiente lançou a iniciativa Renovar Frota +Verde, que tem como objetivo a substituição de veículos antigos e altamente poluentes por aqueles mais modernos e sustentáveis. A portaria que traz as regras dessa ação foi publicada na edição do Diário Oficial da União (DOU) desta quarta-feira (19) e leva em consideração as políticas nacionais sobre Meio Ambiente, Mudança do Clima, o Programa de Aumento da Produtividade da Frota Rodoviária e o Programa Nacional de Crescimento Verde.

Enquanto as montadoras ao redor do mundo aceleram o lançamento de novos veículos 100% elétricos ou a hidrogênio verde, o Brasil vê sua frota de veículos envelhecer. São quase 1 milhão de caminhões com mais de 30 anos ainda em circulação. No caso dos veículos leves, mais da metade, cerca de 26 dos 45 milhões, têm mais de 10 anos. A idade média dos automóveis comuns é de 18,7 nos; dos caminhões, é de 22,5 anos; no caso dos ônibus, a média é de 16 anos. O cenário é semelhante para motores estacionários, tratores e embarcações.

Incentivar a renovação é importante e vai ao encontro das políticas de redução de emissões de carbono e outros gases causadores do efeito estufa. O quilômetro rodado em veículos mais modernos, que possuem dispositivos para a redução de emissões e têm mais eficiência energética, gera menos poluentes e reduz a incidência de acidentes que possam causar impactos ambientais.

A ação disposta na portaria também tem como finalidade combater o descarte incorreto de motores, veículos e peças, óleos lubrificantes, baterias, peças e componentes. Também incentiva a reciclagem, a recuperação de sucata e a economia circular.

O Renovar Frota +Verde buscará a captação de recursos internacionais, a fim de fortalecer o financiamento climático para o setor privado e irá incentivar o uso de combustíveis renováveis, como o etanol, biometano e biodiesel.

A iniciativa vai implementar a concessão de bônus na aquisição de máquinas e equipamentos novos, fomento à criação de um fundo garantidor e disponibilização de linhas de crédito diferenciadas, com taxas de financiamento reduzidas.

ASCOM MMA"
Floresta+ Amazônia tem inscrições abertas para a promoção do empreendedorismo,https://www.gov.br/mma/pt-br/assuntos/noticias/floresta-amazonia-tem-inscricoes-abertas-para-a-promocao-do-empreendedorismo,"Oprograma Floresta+ Amazônia está com inscrições abertas em duas modalidades: Ideação e Aceleração para Negócios. Para participar, o interessado deve acessar a página do programa, realizar o login e preencher os dados.

No caso do Floresta+ Ideação, acontecerá entre os dias 4 e 6 de novembro em Cuiabá (MT), o objetivo é despertar boas ideias com foco em empreendimentos de base tecnológica, buscando sensibilizar os jovens para as oportunidades no universo do empreendedorismo. Os eventos serão presenciais e gratuitos. Interessados tem até 21 de outubro para se inscrever por meio deste link.

Também seguem abertas, até 31 de outubro, as inscrições para a chamada do Floresta+ Aceleração, que busca negócios e organizações de impacto socioambiental que estejam engajados na construção de soluções inovadoras e contribuam para o mercado de serviços ambientais.

Os negócios selecionados na chamada terão acesso a benefícios como: assessoria para estruturação do negócio, definição de estratégias de crescimento, sustentação e gestão; consultorias técnicas; apoio para captação de recursos, incluindo assessoria para a modelagem financeira e definição de estratégias para relacionamento com investidores; disponibilização de softwares de gestão (Monday) e de outras ferramentas digitais. Interessados devem realizar a inscrição por meio deste link.

ASCOM MMA

*Com informações do Projeto Floresta+ Amazônia"
Último dia para se inscrever no curso de Introdução aos Planos de Manejo em Unidades de Conservação,https://www.gov.br/mma/pt-br/assuntos/noticias/ultimo-dia-para-se-inscrever-no-curso-de-introducao-aos-planos-de-manejo-em-unidades-de-conservacao,"Estão abertas, até hoje (14), as inscrições para uma nova edição do curso “Introdução aos Planos de Manejo em Unidades de Conservação”. Desenvolvido pelo Departamento de Áreas Protegidas (DAP/SAP) do Ministério do Meio Ambiente, com o apoio do projeto “Consolidação do Sistema Nacional de Unidades de Conservação (SNUC) – LifeWeb”, o curso é dirigido a gestores, consultores, beneficiários, estudantes, voluntários e demais interessados em processos de planejamento e gestão de Unidades de Conservação. Com vagas limitadas e acesso gratuito, o curso estará disponível no Ambiente Virtual de Aprendizagem do MMA, podendo ser concluído até 18 de novembro.

De acordo com o artigo 27 da Lei n. 9.985/2000, que instituiu o Sistema Nacional de Unidades de Conservação (SNUC), o plano de manejo é um documento técnico mediante o qual se estabelece o zoneamento e as normas que devem dirigir o uso da área e o manejo dos recursos naturais, incluindo a implantação das estruturas físicas necessárias à gestão da unidade. Imprescindível para o planejamento e a gestão das Unidades de Conservação, o plano de manejo é um dos primeiros instrumentos a ser desenvolvido pelas unidades após a sua criação, esão essenciais para atuação dos Conselhos Consultivos ou Deliberativos das unidades.

A construção do plano de manejo deve ocorrer de forma processual, contínua, flexível, gradativa e participativa, envolvendo diferentes segmentos da sociedade. Sendo assim, o processo de elaboração do plano exige entendimento das questões ambientais, socioeconômicas, históricas e culturais que caracterizam uma Unidade de Conservação e sua região. Além da área da unidade, o plano de manejo deve abranger sua zona de amortecimento e os corredores ecológicos, incluindo medidas com o fim de promover sua integração à vida econômica e social das comunidades vizinhas.

Realizado em 2019 pelo MMA, o curso “Introdução aos Planos de Manejo em Unidades de Conservação”, certificou cerca de 700 participantes. O curso aborda noções introdutórias, permitindo o entendimento da estrutura e dos principais componentes do plano de manejo, bem como conceitos e importância das etapas de elaboração do documento. Com acesso virtual, o curso foi organizado em quatro módulos: Conceito, histórico e relevância do plano de manejo; Contexto legal e institucional; Estrutura e conteúdo; e Etapas do processo de elaboração do plano de manejo. 

A capacitação dos gestores para o desenvolvimento e a implantação dos planos de manejo das Unidades de Conservação é um dos objetivos do projeto “Consolidação do Sistema Nacional de Unidades de Conservação (SNUC) – LifeWeb”, coordenado pelo Ministério do Meio Ambiente, é uma iniciativa resultante da articulação bilateral entre os governos brasileiro e alemão, no âmbito da Iniciativa Internacional para o Clima (IKI) do Ministério Federal do Meio Ambiente, Proteção da Natureza, Segurança Nuclear e Defesa do Consumidor (BMUV) da Alemanha. 

Serviço

As aulas serão ministradas de forma remota, pela plataforma online do Educa+, aberta para toda a população e 100% gratuita. As inscrições se encerram nesta sexta-feira (14). O curso poderá ser realizado no período de 03 de outubro a 18 de novembro. Para se inscrever, os interessados precisam acessar o portal ead.mma.gov.br, clicar em “inscrições abertas” e em ""inscreva-se''.

Clique aqui para realizar sua inscrição.

ASCOM MMA"
Abertas as inscrições para o Cadastramento de espaços exibidores do Circuito Tela Verde 11,https://www.gov.br/mma/pt-br/assuntos/noticias/aberta-as-inscricoes-para-o-cadastramento-de-espacos-exibidores-do-circuito-tela-verde-11,"Estão abertas até o dia 03 de novembro as inscrições para as instituições interessadas em se inscreverem como espaço exibidor da 11ª Mostra do Circuito Tela Verde (CTV 11). A mostra tem por objetivo divulgar e estimular atividades de Educação Ambiental, por meio da produção audiovisual independente e atender a demanda de espaços educadores por materiais pedagógicos multimídias. 

Ao se inscrever a instituição terá acesso a todos os materiais necessários para a realização da 11ª Mostra do Circuito Tela Verde.

Clique aqui e acesse a chamada para realizar a inscrição. Diferentes tipos de organizações podem se inscrever como espaço exibidor, tais como: Salas +Verdes, instituições formais de ensino, instituições não-formais de ensino, instituições públicas, ONGs, associações, cooperativas, instituições religiosas, empresas, dentre outras. As instituições que realizarem a Mostra e enviarem o formulário de avaliação para o MMA irão receber o Certificado de Participação da 11ª Mostra CTV como Espaço Exibidor.

Iniciativa do Departamento de Educação e Cidadania Ambiental do MMA, o Circuito Tela Verde (CTV) promove regularmente a Mostra Nacional de Produção Audiovisual Independente, que reúne vídeos de todas as regiões com conteúdo socioambiental para serem exibidos em todo o território nacional. O CTV teve início em 2009, quando ocorreu a primeira Mostra Nacional de Produção Audiovisual Independente. Desde então, já foram selecionados 368 vídeos relacionados à temática socioambiental, e cadastrados mais de 9 mil Espaços Exibidores.

ASCOM MMA"
Parques Nacionais de MG vão receber R$ 150 milhões em investimentos,https://www.gov.br/mma/pt-br/assuntos/noticias/parques-nacionais-de-mg-vao-receber-r-150-milhoes-em-investimentos,"Mais de 700 mil hectares em parques nacionais de Minas Gerais receberão investimentos de R$ 150 milhões. Os recursos serão disponibilizados graças a um acordo que substituiu as multas ambientais impostas pelo Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama), no caso de Brumadinho, e devem financiar ações de proteção e melhorias em sete parques mineiros.

Dentre as unidades beneficiadas estão: Parque Nacional da Serra da Canastra; Parque Nacional da Serra do Cipó; Parque Nacional do Caparaó; Parque Nacional da Serra do Gandarela; Parque Nacional Grande Sertão Veredas; Parque Nacional Cavernas do Peruaçu; e Parque Nacional das Sempre-Vivas.

Essas unidades possuem uma grande extensão territorial, que se espalha pelos biomas Cerrado e Mata Atlântica. Estima-se que os sete parques recebem 380 mil visitantes anualmente, que ajudam a movimentar o ecoturismo e as economias regionais, além de serem essenciais para a conservação da biodiversidade e proteção de nascentes e recursos naturais.

""Hoje, nós tivemos a oportunidade de visitar a região e deixar claro o nosso compromisso com os parques nacionais. É muito importante transformar multas em ações reais. Eu acho que o acordo de Brumadinho é um belo exemplo de como a gente pode transformar o meio ambiente. São R$ 150 milhões para trazer o turismo de natureza, que já existe, mas precisa de mais infraestrutura. O recurso chega para transformar essas áreas numa região de uma nova economia verde.""

O recurso poderá ser usado, dentre outras finalidades, para a compra de materiais, equipamentos, ferramentas e insumos operacionais para a gestão dos parques; proteção e combate a incêndios florestais; e infraestrutura, edificações instalações para o ecoturismo.

Com o investimento, as unidades poderão fazer o monitoramento de fauna e flora com equipamentos tecnológicos avançados, incluindo implantação de microchips, drones e câmeras. Podem fazer, ainda, a modernização dos centros de visitantes e desenvolver as atividades de recreação e contato com a natureza, implantando novas estruturas para tirolesa, balonismo, turismo náutico, cavalgada, canoagem, dentre outros. Também serão adquiridos mais de 70 veículos, 40 computadores, kits de energia solar e sistemas de comunicação e conectividade.

O investimento viabilizará a conservação de 1.500 km de trilhas, que terão instalados equipamentos de acessibilidade como pontes, passagens, decks, mirantes, banheiros e pontos de apoio, além de sinalização dos caminhos e atrativos. Cerca de 450 km de estradas que dão acesso aos parques também serão beneficiadas com os recursos.

A medida vai contribuir com a preservação de ecossistemas naturais de grande relevância ecológica, além de propiciar a conservação da vida nativa desses biomas, o fortalecimento econômico e a qualidade de vida da população das regiões e entornos.

ASCOM MMA"
Ministério amplia Projeto Conecta Parques para acesso gratuito à internet nas Unidades de Conservação,https://www.gov.br/mma/pt-br/ministerio-amplia-projeto-conecta-parques-para-acesso-gratuito-a-internet-nas-unidades-de-conservacao,"OMinistério do Meio Ambiente está ampliando o acesso gratuito à internet nas unidades de conservação federais. Na terceira fase do projeto, serão instaladas 30 antenas em 27 Unidades de Conservação (UCs) e uma Trilha de Longo Curso.

As unidades contempladas nessa fase serão: os parques nacionais da Serra dos Órgãos, da Serra da Canastra, de Ubajara, da Serra do Cipó, de São Joaquim, de Anavilhanas, da Chapada da Diamantina, do Jaú, Cavernas do Peruaçu, de Silvânia, da Amazônia, da Serra da Capivara, de Jericoacoara, da Serra da Bocaina, da Restinga de Jurubatiba, dos Campos Gerais, do Superagui, da Serra de Itabaiana, além das Florestas Nacionais de Ipanema, de Lorena, do Passa Quatro, de Carajás, do Tapajós, de Três Barras, de Paraopeba, de Ritápolis, e as Reservas Extrativistas Marinha do Arraial do Cabo e Marinha de Soure. A Trilha de Longo Curso, Trilha dos Canyons também será contemplada.

O Parque Nacional de Anavilhanas foi contemplado com uma antena na fase anterior e receberá mais uma nesta fase. Para a gestora de Anavilhanas, Leila Matos, o projeto é fundamental para a melhoria dos serviços oferecidos aos visitantes, além de auxiliar na comunicação dos servidores que atuam no parque. “O Projeto Conecta Parques é fundamental na melhoria da comunicação e acesso dos visitantes e dos servidores no interior do Parque de Anavilhanas. Os servidores que trabalham 15 dias isolados podem ter contato com a família e, aos visitantes, é muito importante que ao chegarem na base avançada sejam acolhidos, poder dar notícias para a família e fazer uma fotografia divulgando as belezas do Parque. O Conecta Parques é apenas um passo para conectar as UCs. Além do mais, toda tecnologia inserida na gestão é sempre bem-vinda, e nós estamos muito felizes com o Projeto Conecta Parques no Parque de Anavilhanas”, ressalta.

A previsão é a de que, até o final do ano, 40 Unidades de Conservação e 6 Trilhas de Longo Curso sejam contempladas pelo projeto, totalizando 50 antenas instaladas.

A disponibilização de internet gratuita aos visitantes e a promoção da conectividade, traz uma nova abordagem nas áreas protegidas brasileiras, fortalece o ecoturismo nacional e melhora a experiência do visitante que pode de forma interativa em tempo real promover o destino visitado. 

Projeto Conecta Parques

O Projeto Conecta Parques é um dos eixos de atuação do Programa PARQUE+, que tem o objetivo fortalecer o ecoturismo e gerar uma consciência ambiental por meio do contato da população com a natureza, melhorando estruturas e atrativos em Unidades de Conservação e nas Trilhas de Longo Curso.

ASCOM MMA"
Inscrições para a iniciativa Escolas +Verdes seguem até 14 de outubro,https://www.gov.br/mma/pt-br/inscricoes-para-a-iniciativa-escolas-verdes-seguem-ate-14-de-outubro,"As escolas interessadas em se inscrever no Escolas +Verdes para receberem um biodigestor têm até 14 de outubro para encaminhar a documentação. A iniciativa foi lançada pelo Ministério do Meio Ambiente, em parceria com o Ministério da Educação, no dia 14 de setembro e tem o objetivo de promover a sustentabilidade nas escolas brasileiras, com um investimento inicial previsto em até R$ 300 milhões. A portaria que regulamenta o Escolas +Verdes e define os critérios para os projetos foi assinada pelo ministro Joaquim Leite e contou com a presença dos ministros da Educação, Victor Godoy, e da cidadania, Ronaldo Bento.

As propostas podem ser enviadas por Consórcios Públicos de todo país, exclusivamente por meio da Plataforma +Brasil, www.plataformamaisbrasil.gov.br, Programa nº 4400020220009, impreterivelmente até o dia 14/10/2022. Cada proposta deve considerar a implantação de um biodigestor por escola, em um total de dez escolas, devendo atender a um mínimo de 4 (quatro) municípios. Para mais informações acesse a íntegra do Edital, por meio do link Edital de Chamamento Público nº1/2022.

O biodigestor é um equipamento que produz biogás e biofertilizante líquido a partir da digestão anaeróbia de resíduos orgânicos. Assim, nada é desperdiçado. As cascas de frutas e legumes, por exemplo, deixam de ir para o lixo comum e geram o biogás, que retorna para o fogão no preparo da merenda. O biofertilizante líquido pode ser utilizado em hortas, pomares e jardins da escola.

A aquisição e implantação dos biodigestores em escolas públicas será financiada pelo Ministério do Meio Ambiente. O financiamento será feito a partir de recursos próprios ou provenientes de cooperação, acordos, ajustes e outros instrumentos celebrados pelo MMA com governos estrangeiros e organismos internacionais ou órgãos e entidades públicas ou privadas, nacionais ou internacionais, com ou sem fins lucrativos.

As iniciativas sustentáveis, como o biodigestor, abrem espaço para a interdisciplinaridade, pois permite que educadores nas áreas de biologia, matemática, química, física e ciências possam abordar os assuntos de forma prática com seus alunos.

Para a segunda fase do programa, a previsão é que sejam investidos R$ 200 milhões, abrangendo outras iniciativas sustentáveis.



ASCOM MMA
 "
